session_id,path,viewedAt,pageviewCount,browserName,deviceType,osName,city,country,region,trafficSource,referrerUrl,utmSource,utmMedium,utmCampaign,utmContent,timeOnPageMs
wix_203.12.143.9_2242026_22,/post/microsoft-purview-s-adaptive-dlp-brings-scalable-control-to-copilot,2026-02-24T22:00:00Z,1,Edge,desktop,Windows,Melbourne,AU,VIC,direct,,,,,,
wix_unknown_152026_10,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-01-05T10:00:00Z,1,Edge,desktop,Windows,San Francisco,US,CA,organic,https://bing.com/,,,,,
wix_96.224.249.114_242026_8,/,2026-02-04T08:00:00Z,1,Mobile Samsung Browser,mobile,Android,Lindenhurst,US,NY,direct,https://syndicatedsearch.goog/,google,wix-smart-campaign,guided-transformations-for-leaders-2026-2-1-4b82ffda,,
wix_unknown_122026_3,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-02T03:00:00Z,1,Chrome,desktop,Mac OS,Philadelphia,US,PA,direct,,,,,,
wix_20.63.232.40_5112026_19,/post/copilot-for-every-leader-how-ai-is-empowering-the-c-suite,2026-05-11T19:00:00Z,1,Edge,desktop,Linux,Osaka,JP,Osaka,direct,,,,,,
wix_unknown_1132026_6,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-13T06:00:00Z,1,Safari,tablet,iPadOS 18,Montreal,CA,QC,direct,,perplexity,,,,
wix_172.56.204.160_292026_7,/items,2026-02-09T07:00:00Z,1,Chrome,mobile,Android,Seattle,US,WA,organic,https://google.com/,,,,,51000
wix_unknown_1122026_17,/post/ai-powered-sharepoint-updates-faster-document-automation-better-data-and-why-you-should-care,2026-01-12T17:00:00Z,1,Edge,desktop,Windows,Perth,AU,WA,organic,https://bing.com/,,,,,
wix_unknown_162026_5,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-06T05:00:00Z,1,Chrome,desktop,Mac OS,Baltimore,US,MD,direct,,,,,,
wix_50.35.87.91_3212026_22,/post/ai-in-2026-a-trillion-dolars-is-coming-who-wins,2026-03-21T22:00:00Z,1,Google App,mobile,iOS,Bothell,US,WA,organic,https://google.com/,,,,,
wix_206.80.249.105_1312026_11,/,2026-01-31T11:00:00Z,1,Chrome,desktop,Windows,,CA,ON,direct,https://google.com/,google,wix-smart-campaign,guided-transformations-for-leaders-2026-2-1-4b82ffda,,
wix_unknown_152026_4,/post/introducing-the-knowledge-agent-for-microsoft-365-copilot,2026-01-05T04:00:00Z,1,Edge,desktop,Windows,Québec,CA,QC,organic,https://linkedin.com/,,,,,
wix_82.22.115.116_2172026_13,/,2026-02-17T13:00:00Z,1,Chrome,desktop,Windows,Los Angeles,US,CA,referral,,hs_email,email,,23481503,
wix_102.223.32.75_4192026_11,/post/lessons-from-microsoft-s-recent-layoffs-a-synozur-perspective,2026-04-19T11:00:00Z,1,Chrome,desktop,Windows,Nairobi,KE,30,organic,https://google.com/,,,,,
wix_185.220.101.164_552026_18,/case-studies,2026-05-05T18:00:00Z,1,Chrome,desktop,Mac OS,Brandenburg,DE,BB,direct,,,,,,
wix_unknown_1132026_10,/team,2026-01-13T10:00:00Z,1,Chrome,desktop,Mac OS,Reston,US,VA,organic,https://google.com/,,,,,
wix_114.143.211.66_272026_23,/services-overview/default,2026-02-07T23:00:00Z,1,Chrome,desktop,Windows,,IN,,direct,https://synozur.com/about,,,,,
wix_14.200.97.218_4112026_18,/,2026-04-11T18:00:00Z,1,Chrome,desktop,Windows,Sydney,AU,NSW,direct,,,,,,
wix_98.15.128.185_1252026_21,/team/rob-asen,2026-01-25T21:00:00Z,1,Safari,mobile,iOS,New York,US,NY,direct,,,,,,
wix_58.191.6.33_3292026_21,/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,2026-03-29T21:00:00Z,1,Chrome,desktop,Windows,Osaka,JP,Osaka,direct,,,,,,
wix_50.47.248.147_3242026_6,/solutions/delivery-management,2026-03-24T06:00:00Z,1,Edge,mobile,iOS,Bothell,US,WA,direct,https://synozur.com/,,,,,94000
wix_146.75.232.1_582026_14,/post/back-in-the-intra-zone-mark-kashman-and-the-m365-community-conference,2026-05-08T14:00:00Z,1,Safari,mobile,iOS,Atlanta,US,GA,direct,,,,,,354000
wix_13.84.43.159_292026_9,/post/claude-comes-inside-the-microsoft-365-boundary,2026-02-09T09:00:00Z,1,Edge,desktop,Windows,San Antonio,US,TX,direct,https://gemini.google.com/,,,,,
wix_140.248.44.170_3152026_19,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-03-15T19:00:00Z,1,Safari,mobile,iOS,Naples,US,FL,organic,https://ecosia.org/,,,,,
wix_193.5.233.207_4142026_5,/post/claude-comes-inside-the-microsoft-365-boundary,2026-04-14T05:00:00Z,1,Edge,desktop,Mac OS,Lausanne,CH,VD,organic,https://google.com/,,,,,
wix_208.127.85.205_3192026_15,/services-overview/default,2026-03-19T15:00:00Z,1,Chrome,desktop,Windows,San Francisco,US,CA,organic,https://google.com/,,,,,
wix_162.10.127.39_2182026_12,/,2026-02-18T12:00:00Z,1,Edge,desktop,Windows,New York,US,NY,direct,,,,,,
wix_unknown_142026_22,/post/claude-comes-inside-the-microsoft-365-boundary,2026-01-04T22:00:00Z,1,Chrome,desktop,Mac OS,Ashburn,US,VA,direct,,,,,,
wix_unknown_142026_12,/team,2026-01-04T12:00:00Z,1,Edge,desktop,Windows,Los Angeles,US,CA,organic,https://google.com/,,,,,37000
wix_172.56.67.85_232026_4,/,2026-02-03T04:00:00Z,1,Facebook,mobile,iOS,Atlanta,US,GA,direct,https://syndicatedsearch.goog/,google,wix-smart-campaign,guided-transformations-for-leaders-2026-2-1-4b82ffda,,
wix_130.41.9.58_2222026_23,/post/11-copilot-tips-to-supercharge-your-productivity,2026-02-22T23:00:00Z,1,Edge,desktop,Windows,Oslo,NO,03,organic,https://bing.com/,,,,,
wix_37.228.212.172_632026_1,/clients,2026-06-03T01:00:00Z,1,Chrome,desktop,Windows,Dublin,IE,L,organic,https://google.com/,,,,,451000
wix_192.240.77.6_462026_12,/post/introducing-microsoft-copilot-notebooks-a-quick-take,2026-04-06T12:00:00Z,1,Chrome,desktop,Mac OS,Ashland,US,VA,organic,https://google.com/,,,,,
wix_73.69.121.238_582026_7,/privacy,2026-05-08T07:00:00Z,1,Edge,mobile,iOS,Exeter,US,NH,direct,,,,,,
wix_107.143.20.12_5252026_20,/clients,2026-05-25T20:00:00Z,1,Safari,mobile,iOS,Noblesville,US,IN,direct,,chatgpt.com,,,,
